Decilis	Percent	Koltseg	Jovedelem	Dec_a	Dec_f
1	33.1	9252.666667	27995.75	0	37968.08333
2	23.4	11197.66667	47940.41667	37968.16667	53977
3	21.7	13015.58333	60013.58333	53977.08333	65970.08333
4	20.1	14477.66667	71926.58333	65970.16667	77333.08333
5	19.9	16475.83333	82739.5	77333.16667	88456
6	19.2	18090.08333	94172.5	88456.08333	100176.3333
7	18.9	20110.91667	106180.1667	100176.4167	114391.25
8	18.4	22612.91667	122602.25	114391.3333	134479.5
9	17	24836.25	146356.6667	134479.5833	192888.25
10	12.4	29698.16667	239419.8333	192888.3333	8333333.333
