Jövedelmi tized	Nettó jövedelem	Élelmiszerek	Lakásfenntartás	Energiakiadások	Egészségügy	Közlekedés	Fennmaradó nettó jövedelem	Energiakiadások aránya a nettó jövedelemhez képes
1	335949	135593	45853	65179	15246	37454	36624	0.1940145677
2	575285	160440	47681	86691	19141	44997	216335	0.1506922656
3	720163	176720	59726	96460	25485	61252	300520	0.1339418993
4	863119	209696	57909	115823	36602	88055	355034	0.1341912297
5	992874	227408	72155	125555	45495	101839	420422	0.1264561264
6	1130070	270994	80278	136803	54191	127641	460163	0.1210571027
7	1274162	273206	93513	147818	59086	128486	572053	0.1160119357
8	1471227	301069	105339	166016	76762	135206	686835	0.112841866
9	1756280	330185	129876	168159	84306	177188	866566	0.0957472613
10	2873038	380058	171685	184693	97026	272946	1766630	0.0642849137
