date	Önkormányzati tulajdonú lakások száma, ezer lakás (bal tengely)	NET Zrt. lakásainak száma, ezer lakás (bal tengely)	Éves lakbérbevétel - önkormányzati lakások, milliárd forint (jobb tengely)	Lakóépületek javítására, felújítására felhasznált összeg - önkormányzati lakások, milliárd forint (jobb tengely)	NET Zrt. éves lakbérbevétel, milliárd forint (jobb tengely)	NET Zrt. fenntartási és karbantartási kiadások, milliárd forint (jobb tengely)
1996	221	null	4.3	9.1	null	null
1997	216	null	4.8	11.4	null	null
1998	198	null	5.2	12	null	null
1999	185	null	6	10.9	null	null
2000	177	null	6.8	11.6	null	null
2001	166	null	6.8	12.6	null	null
2002	162	null	7.5	13.5	null	null
2003	163	null	9.7	11.2	null	null
2004	154	null	10.5	11	null	null
2005	141	null	11.2	12	null	null
2006	135	null	11.7	15.2	null	null
2007	129	null	12.7	15.4	null	null
2008	126	null	14.2	14.1	null	null
2009	124	null	15.1	12.4	null	null
2010	119	null	15	13.3	null	null
2011	117	null	16	9.7	null	null
2012	117	1	17	9.3	null	null
2013	115	5	18.3	12.1	0.2	0.2
2014	113	14	18	14.8	1.1	0.5
2015	111	22	18.4	14.3	1.9	1
2016	110	28	18.2	12.1	2.8	1.3
2017	108	35	19.4	12.6	3.2	2
