date	Ingatlanhitelek, forint	Ingatlanhitelek, deviza	Fogyasztási és egyéb hitelek, forint	Fogyasztási és egyéb hitelek, deviza	Hitelek a nem pénzügyi szektortól	Forint/Svájci frank árfolyam
198910	272.868	0	47.846	0	35.1	0
199001	274.792	0	50.389	0	36.125	0
199004	276.69	0	57.425	0	37.25	0
199007	291.647	0	62.536	0	38.575	0
199010	290.907	0	62.148	0	40.4	0
199101	247.299	0	65.281	0	39.695	0
199104	170.392	0	68.947	0	40.09	0
199107	170.306	0	72.122	0	40.585	0
199110	167.6	0	64.563	0	40.88	0
199201	160.648	0	68.848	0	42.028	0
199204	159.828	0	72.398	0	42.677	0
199207	161.873	0	77.565	0	43.726	0
199210	174.421	0	72.355	0	43.875	0
199301	174.582	0	77.842	0	44.531	0
199304	177.392	0	88.53	0	44.987	0
199307	181.7	0	95.806	0	45.543	0
199310	193.694	0	94.672	0	45.999	0
199401	191.15	0	102.183	0	47.295	0
199404	185.477	0	115.173	0	48.091	0
199407	181.145	0	133.6	0	49.687	0
199410	187.584	0	138.547	0	51.183	0
199501	179.198	0	136.779	0	51.739	0
199504	171.4	0	138.586	0	52.395	0
199507	164.565	0	140.217	0	53.251	0
199510	170.658	0	125.748	0.148	54.061	0
199601	163.133	0.141	125.994	0.048	54.906	0
199604	155.074	0.143	129.321	0.057	55.964	0
199607	147.382	0.108	130.595	0.225	56.884	0
199610	150.541	0.112	124.287	0.061	57.724	0
199701	140.961	0.082	123.282	0.091	58.634	0
199704	134.163	0.133	132.2	0.127	64.944	0
199707	129.227	0.176	146.256	0.133	66.645	0
199710	137.437	0.452	147.486	1.098	98.603	0
199801	130.787	0.476	145.772	1.219	103.322	141.0666666667
199804	128.512	0.5	169.268	1.565	85.666	142.5266666667
199807	127.272	0.568	186.266	1.718	84.739	149.7753030303
199810	127.018	0.504	198.607	2.153	70.176	159.536984127
199901	122.89	0.474	218.865	2.99	66.898	157.3346666667
199904	122.716	0.514	248.049	3.302	65.127	156.6776002886
199907	124.637	0.604	283.803	4.417	67.198	157.9527344877
199910	128.107	0.643	311.682	8.753	73.988	159.7954206349
200001	127.049	0.638	343.026	16.072	71.574	159.3197525253
200004	139.547	1.016	382.414	22.877	76.671	165.6527834738
200007	159.877	2.644	421.304	29.982	79.379	169.1322567288
200010	186.215	3.878	463.743	41.476	83.654	174.0793233083
200101	202.616	4.418	500.906	52.247	87.796	173.275030303
200104	237.928	5.034	546.616	73.731	96.073	168.4769561404
200107	278.503	5.814	582.238	105.598	104.904	167.3238181818
200110	320.347	6.444	628.088	130.551	118.963	170.5851722689
200201	356.773	8.587	645.285	165.964	120.998	165.6327121212
200204	459.427	9.814	709.575	198.657	124.357	165.8273650794
200207	617.327	11.906	773.575	227.424	130.452	167.5239848171
200210	779.12	12.892	761.822	294.235	149.599	163.096608453
200301	904.614	13.881	795.467	342.595	143.469	166.1607417027
200304	1102.68	16.974	856.783	411.9	146.927	165.3123253968
200307	1328.736	17.351	877.335	486.825	147.601	168.1197338603
200310	1511.109	20.528	931.6	566.604	158.386	167.2496746032
200401	1630.791	22.853	959.706	601.265	158.01	165.9153636364
200404	1698.3	50.039	990.693	749.396	166.599	163.9192662338
200407	1760.696	97.367	1026.861	844.043	169.781	161.9683333333
200410	1799.515	151.416	1046.66	965.974	189.83	160.4470995671
200501	1795.125	204.042	1052.004	1044.041	197.545	158.2684126984
200504	1810.635	291.759	1058.494	1197.39	216.179	161.7853030303
200507	1824.512	401.298	1080.2	1360.604	229.336	158.080417843
200510	1838.099	505.407	1135.032	1511.157	246.852	162.7270873016
200601	1829.987	615.558	1126.75	1667.871	253.648	163.1869242424
200604	1827.21	787.076	1166.995	1970.544	274.719	170.4539462292
200607	1818.293	908.515	1215.357	2045.678	280.222	174.7582056591
200610	1815.071	982.494	1237.246	1975.622	283.73	163.2525229741
200701	1793.637	1068.195	1255.955	2068.667	280.036	156.1
200704	1768.504	1189.132	1290.126	2234.334	284.488	150.74
200707	1749.64	1372.076	1298.759	2545.811	286.845	152.81
200710	1710.284	1569.234	1288.522	2786.464	287.102	152.4
200801	1665.241	1829.246	1320.353	3214.941	294.66	162.02
200804	1629.454	1805.21	1358.141	3068.644	287.606	154
200807	1602.683	2062.978	1398.026	3422.652	296.291	146.55
200810	1576.77	2538.153	1406.757	4008.65	311.105	171.95
200901	1557.235	2950.649	1442.693	4533.992	316.076	196.75
200904	1552.57	2605.905	1509.387	3887.146	302.91	188.82
200907	1551.05	2626.654	1563.515	3802.048	298.663	178.55
200910	1541.652	2668.267	1585.316	3785.682	300.345	179.49
201001	1539.793	2696.546	1661.8	3745.145	293.835	183.51
201004	1550.187	3088.667	1720.259	4181.564	297.965	194.83
201007	1571.903	2938.538	1810.389	3853.118	295.315	211.93
201010	1590.832	3076.541	1842.676	3906.542	299.65	208.71
201101	1592.559	2809.289	1891.74	3425.772	290.179	211.68
201104	1602.939	2954.885	1955.508	3520.021	289.809	212.7
201107	1625.238	3199.137	1969.021	3709.014	298.237	236.03
201110	1650.431	2948.395	2037.429	3607.398	302.936	246.83
201201	1737.275	2319.175	2176.507	3110.894	291.582	245.77
201204	1718.795	2248.515	2208.07	2943.044	286.88	244.89
201207	1728.995	2136.867	2247.384	2728.751	298.92	235.19
201210	1711.975	2152.655	2222.484	2683.255	294.533	234.34
201301	1653.589	2109.85	2257.227	2761.761	293.475	241.34
201304	1636.732	1940.577	2266.238	2594.234	285.607	240.23
201307	1632.678	1930.915	2286.92	2543.466	283.076	241.25
201310	1626.979	1870.204	2245.415	2417.849	277.787	242.02
201401	1597.084	1887.357	2267.031	2433.316	263.61	251.63
201404	1598.454	1862.37	2287.849	2371.942	258.588	250.91
201407	1618.468	1838.554	2319.366	2299.757	254.195	257.7
201410	1628.566	1827.99	2301.233	2253.216	249.888	256.02
201501	3146.83	73.326	3804.248	427.249	245.845	289.18
201504	3161.463	26.973	3753.961	350.735	258.262	294.05
201507	3130.584	23.17	3714.902	293.087	264.147	291.04
201510	3098.085	8.065	3796.826	91.249	276.317	288.13
201601	3057.987	8.162	3742.063	83.586	278.379	284.7
201604	3051.505	7.763	3710.182	77.651	278.625	285.85
201607	3059.233	7.289	3711.493	75.351	276.658	285.74
201610	3017.017	6.991	3753.508	71.309	300.158	286.49
201701	3015.566	7.131	3744.791	65.588	299.647	289.03
201704	3013.638	6.054	3784.082	63.911	304.205	285.79
201707	3064.883	5.779	3787.572	62.147	303.473	271
201710	3104.622	5.462	3674.124	60.631	299.589	268.2
201801	3127.149	4.451	3680.847	56.392	302.262	266.97
